lokacija2;kvadratura;sprat;broj_soba;parking;lift;terasa;cena
1.02103;36;4;1;0;0;0;72000
1.02103;33;4;1;0;0;0;71900
2.06858;85;2;4;1;1;1;190000
2.06858;70;3;4;0;0;0;165000
2.06858;84;2;4;1;1;1;194000
2.06858;72;5;4;0;0;1;129900
2.06858;84;5;4;0;0;1;130000
1.02103;36;0;1;0;0;0;75000
1.02103;34;4;1;0;0;0;70000
2.6232;95;4;4;0;0;0;175000
5.29349;100;11;4;0;1;1;148000
2.06858;125;3;4;1;0;1;205000
2.06858;94;5;4;1;1;1;206800
2.06858;80;3;4;0;0;1;200000
4.20186;68;7;4;0;1;0;165000
7.53037;89;7;4;0;0;1;143000
2.06858;84;3;4;0;0;1;220000
2.06858;84;3;4;0;0;1;220000
7.53037;100;2;4;1;1;1;151900
7.53037;88;7;4;0;1;1;139900
7.53037;88;7;4;0;1;1;140000
7.53037;115;7;4;0;1;1;143000
6.28083;77;3;4;0;0;0;153290
7.10496;30;4;1;0;0;0;33000
6.89724;59;2;2;1;1;1;1650
6.89724;49;1;2;1;1;1;2100
2.06858;95;2;4;1;1;1;228000
2.70379;71;5;0;0;1;1;1955
2.06858;100;5;4;1;1;1;240000
6.89724;94;3;2;1;0;1;1700
6.28083;91;3;4;1;1;1;165000
6.28083;87;9;4;0;1;1;149900
7.36878;26;6;1;1;1;1;35000
7.10496;37;7;1;0;1;0;38000
6.28083;83;2;4;1;1;1;174900
6.28083;85;1;4;1;1;1;178122
6.28083;93;3;4;0;1;1;139000
6.28083;105;17;4;0;1;1;140000
7.36878;31;5;1;0;1;1;34000
7.36878;40;2;1;1;0;0;38000
7.10496;25;1;1;0;0;0;23000
7.36878;34;1;1;1;1;0;35500
7.10496;40;4;2;1;0;1;48000
6.28083;77;2;4;0;0;0;153290
7.10496;44;4;1;1;0;1;49850
6.28083;93;11;4;0;1;0;132000
6.28083;75;1;4;0;1;1;165000
7.36878;38;2;1;0;0;1;49000
6.28083;83;3;4;1;1;1;174400
7.36878;24;0;1;0;0;1;20000
7.36878;44;4;1;1;0;1;49850
8.65485;44;4;1;1;0;1;49850
7.52503;88;1;3;0;1;1;131000
6.28083;87;3;4;1;1;1;141888
6.28083;91;4;4;1;1;0;139900
1.50718;71;4;3;0;0;1;140000
5.37218;103;2;4;1;1;1;234900
0.70141;44;1;1;0;1;0;129000
2.70379;40;0;1;0;0;1;63000
2.82883;88;1;4;0;1;1;176000
2.06858;68;5;4;0;0;1;130000
3.40639;57;0;4;0;0;1;108000
5.63327;64;6;3;1;1;1;124800
5.14346;134;4;5;0;1;1;105000
5.14346;190;0;5;1;0;1;170000
2.82883;86;5;4;0;0;0;168822
0.70141;31;1;1;0;1;0;121900
2.82883;86;5;4;0;0;0;169334
2.82883;80;0;4;1;1;1;178000
2.82883;100;4;4;1;0;1;181000
5.63327;92;21;3;0;1;1;129500
5.63327;68;0;3;1;0;1;130000
5.63327;74;0;3;1;1;1;135000
5.14346;190;0;6;0;0;1;170000
