Rang;Cena
913;87600
914;87550
915;87500
916;87400
917;87150
918;87000
919;87000
920;87000
921;86900
922;86900
923;86550
924;86500
925;86500
926;86200
927;86200
928;85900
929;85900
930;85700
931;85700
932;85700
933;85516
934;85500
935;85400
936;85400
937;85400
938;85280
939;85275
940;85200
941;85200
942;85200
943;85100
944;85050
945;85000
946;85000
947;85000
948;85000
949;85000
950;85000
951;84700
952;84600
953;84500
954;84500
955;84470
956;84460
957;84410
958;84100
959;84100
960;84050
961;84000
962;84000
963;84000
964;83640
965;83590
966;83590
967;83590
968;83450
969;83430
970;83400
971;83300
972;83100
973;83020
974;83000
975;83000
976;82800
977;82800
978;82780
979;82770
980;82760
981;82700
982;82700
983;82690
984;82600
985;82550
986;82500
987;82410
988;82400
989;82400
990;82400
991;82350
992;82300
993;82300
994;82300
995;82250
996;82210
997;82200
998;82050
999;82000
1000;81900
1001;81900
1002;81900
1003;81900
1004;81800
1005;81760
1006;81760
1007;81760
1008;81760
1009;81700
1010;81700
1011;81650
1012;81650
1013;81600
1014;81600
1015;81600
1016;81600
1017;81600
1018;81580
1019;81400
1020;81200
1021;81200
1022;81150
1023;81110
1024;81100
1025;81100
1026;80800
1027;80800
1028;80800
1029;80780
1030;80760
1031;80650
1032;80350
1033;80300
1034;80150
1035;80000
1036;80000
1037;79974
1038;79974
1039;79926
1040;79550
1041;79500
1042;79500
1043;79350
1044;79350
1045;79300
1046;79100
1047;79100
1048;79100
1049;79100
1050;79100
1051;79100
1052;79100
1053;79000
1054;79000
1055;79000
1056;78900
1057;78800
1058;78800
1059;78750
1060;78750
1061;78750
1062;78750
1063;78500
1064;78385
1065;78280
1066;78280
1067;78080
1068;78034
1069;78000
1070;77900
1071;77900
1072;77900
1073;77850
1074;77600
1075;77490
1076;77450
1077;77450
1078;77450
1079;77450
1080;77450
1081;77450
1082;77250
1083;77240
1084;77200
1085;77200
1086;77200
1087;77200
1088;77050
1089;77000
1090;77000
1091;77000
1092;76900
1093;76640
1094;76600
1095;76560
1096;76500
1097;76500
1098;76500
1099;76500
1100;76500
1101;76500
1102;76500
1103;76480
1104;76320
1105;76320
1106;76220
1107;76200
1108;76200
1109;76100
1110;76100
1111;76100
1112;76100
1113;76000
1114;75970
1115;75720
1116;75600
1117;75600
1118;75500
1119;75500
1120;75500
1121;75500
1122;75400
1123;75250
1124;75250
1125;75200
1126;75200
1127;75190
1128;75190
1129;75000
1130;75000
1131;75000
1132;75000
1133;75000
1134;75000
1135;75000
1136;74900
1137;74800
1138;74800
1139;74800
1140;74800
1141;74780
1142;74700
1143;74700
1144;74600
1145;74450
1146;74400
1147;74300
1148;74200
1149;74200
1150;74200
1151;74200
1152;74200
1153;74160
1154;74100
1155;74100
1156;74100
1157;74050
1158;74050
1159;74050
1160;74000
1161;74000
1162;74000
1163;73950
1164;73930
1165;73900
1166;73900
1167;73800
1168;73800
1169;73750
1170;73700
1171;73650
1172;73600
1173;73600
1174;73500
1175;73400
1176;73368
1177;73368
1178;73368
1179;73368
1180;73300
1181;73300
1182;73200
1183;73110
1184;73000
1185;73000
1186;73000
1187;73000
1188;73000
1189;73000
1190;73000
1191;72950
1192;72800
1193;72800
1194;72800
1195;72620
1196;72600
1197;72590
1198;72420
1199;72400
1200;72310
1201;72300
1202;72300
1203;72300
1204;72300
1205;72300
1206;72280
1207;72100
1208;72100
1209;72100
1210;72000
1211;72000
1212;72000
1213;72000
1214;72000
1215;71981
1216;71850
1217;71700
1218;71650
1219;71650
1220;71500
1221;71500
1222;71500
1223;71500
1224;71440
1225;71400
1226;71300
1227;71300
1228;71300
1229;71250
1230;71250
1231;71200
1232;71200
1233;71200
1234;71200
1235;71070
1236;71000
1237;71000
1238;71000
1239;70860
1240;70860
1241;70848
1242;70848
1243;70848
1244;70800
1245;70500
1246;70476
1247;70300
1248;70290
1249;70250
1250;70150
1251;70150
1252;70150
1253;70150
1254;70100
1255;70100
1256;70060
1257;70040
1258;70000
1259;70000
1260;70000
1261;70000
1262;70000
1263;69900
1264;69800
1265;69800
1266;69800
1267;69700
1268;69700
1269;69700
1270;69650
1271;69600
1272;69588
1273;69588
1274;69550
1275;69500
1276;69500
1277;69500
1278;69500
1279;69400
1280;69250
1281;69220
1282;69220
1283;69216
1284;69200
1285;69200
1286;69200
1287;69200
1288;69192
1289;69150
1290;69120
1291;69120
1292;69050
1293;69000
1294;69000
1295;69000
1296;68900
1297;68700
1298;68640
1299;68600
1300;68600
1301;68520
1302;68500
1303;68500
1304;68500
1305;68320
1306;68320
1307;68320
1308;68320
1309;68320
1310;68320
1311;68300
1312;68280
1313;68200
1314;68200
1315;68150
1316;68110
1317;68000
1318;68000
1319;68000
1320;67980
1321;67900
1322;67900
1323;67900
1324;67850
1325;67800
1326;67800
1327;67800
1328;67780
1329;67770
1330;67720
1331;67700
1332;67700
1333;67600
1334;67580
1335;67500
1336;67350
1337;67320
1338;67300
1339;67300
1340;67200
1341;67200
1342;67100
1343;67000
1344;67000
1345;67000
1346;67000
1347;66900
1348;66900
1349;66900
1350;66600
1351;66600
1352;66600
1353;66600
1354;66600
1355;66600
1356;66600
1357;66600
1358;66500
1359;66460
1360;66360
1361;66100
1362;66000
1363;66000
1364;65900
1365;65900
1366;65900
1367;65900
1368;65900
1369;65800
1370;65800
1371;65800
1372;65800
1373;65550
1374;65500
1375;65500
1376;65500
1377;65500
1378;65500
1379;65290
1380;65260
1381;65120
1382;65120
1383;65050
1384;65000
1385;65000
1386;64900
1387;64900
1388;64900
1389;64400
1390;64400
1391;64350
1392;64350
1393;64200
1394;64000
1395;64000
1396;64000
1397;64000
1398;63750
1399;63500
1400;63500
1401;63500
1402;63470
1403;63450
1404;63300
1405;63100
1406;63100
1407;63100
1408;63000
1409;63000
1410;63000
1411;63000
1412;63000
1413;63000
1414;62700
1415;62700
1416;62600
1417;62600
1418;62550
1419;62400
1420;62300
1421;62300
1422;62250
1423;62200
1424;62100
1425;62100
1426;62100
1427;62100
1428;62000
1429;62000
1430;62000
1431;61800
1432;61800
1433;61700
1434;61680
1435;61600
1436;61600
1437;61600
1438;61500
1439;61500
1440;61500
1441;61300
1442;61200
1443;61200
1444;61100
1445;61050
1446;61000
1447;60960
1448;60900
1449;60800
1450;60700
1451;60600
1452;60500
1453;60500
1454;60300
1455;60300
1456;60100
1457;59770
1458;59500
1459;59200
1460;59120
1461;59100
1462;59000
1463;59000
1464;59000
1465;58950
1466;58800
1467;58710
1468;58660
